1	76100000
2	76700000
3	88800000
4	89800000
5	96800000
6	99700000
7	102300000
8	101980000
9	98600000
10	97850000
11	91250000
12	92300000
13	80400000
14	80700000
15	90200000
16	92800000
17	100590000
18	103610000
19	105200000
20	106200000
21	100900000
22	101500000
23	94300000
24	94400000
25	82800000
26	83100000
27	93000000
28	96500000
29	102800000
30	106900000
31	108400000
32	108300000
33	112300000
34	106100000
35	97700000
36	99900000
37	89693900
38	87888800
39	82200600
40	28021100
41	34517100
42	60195800
43	76077900
44	94545300
45	95427400
46	82405500
47	70766600
48	74099000
49	66100400
50	70504000
51	87328000
52	88236300
53	97268100
54	97697900
55	96033000
56	96793300
57	88473100
58	101021900
59	80363600
60	89443100
